,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
480,sonicdrivein_2168,"when she says, `` i know you’ re hungry, '' she’ ll be right back.",0,1,0.9567075,0.41160554,0.0,0.0,0.0,0.0
484,sonicdrivein_491,# getawaywithit# getawaywithit# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ tahrithebengal# march5 📷:@ michaellehman# march5,0,1,0.8177096,0.41160554,0.0,0.0,0.0,0.0
494,sonicdrivein_78,drink water’ s always the same after all.,1,1,0.81935537,0.41160554,0.125,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
533,sonicdrivein_1209,we’ re here to tell you all the things we’ ve been doing since we were a little girl:# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream#,2,1,0.9728874,0.41160554,0.0606060606060606,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
535,sonicdrivein_1077,don’ t worry about what you’ re going to have to do when you go to bed# nightday# sonicswagshop# sonicswagshop# sonicswagshop# sonicswagshop# sonicswagshop# sonicswagshop# sonicswagshop#,4,1,0.96653193,0.41160554,0.0799999999999999,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
553,sonicdrivein_594,we’ ve got a new thing coming.,1,1,0.97912496,0.41160554,0.1428571428571428,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
572,sonicdrivein_532,what’ s the best thing you can do with your food? 🤔# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ tahrithebengal# march5 📷:@ j,3,1,0.7743964,0.41160554,0.1248852219219627,2.130404460028686e-308,2.130404460028686e-308,2.130404460028686e-308
608,sonicdrivein_2100,we’ ve got a new thing coming.,0,1,0.97912496,0.41160554,0.0,0.0,0.0,0.0
618,sonicdrivein_91,"is this what you’ ve been waiting for? 🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal,@ annalee15 and@ annalee15 📷:@ tahrithebengal,@ ann",0,1,0.7400217,0.41160554,0.0,0.0,0.0,0.0
652,sonicdrivein_780,# getawaywithit# getawaywithit# getawaywithit# getawaywithit# somethingscookin# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ tahrithebengal# march5 �,0,1,0.85855246,0.41160554,0.0,0.0,0.0,0.0
682,sonicdrivein_786,we’ re here to tell you what we’ ve been doing since the day before last year’ s birthday 🤷🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫,1,1,0.96826786,0.41160554,0.05,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
738,sonicdrivein_2181,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0,1,0.8792573,0.41160554,0.0,0.0,0.0,0.0
763,sonicdrivein_283,the drive-in is always the drive-in and the drive-in is always the drive-in and the drive-in is always the drive-in </s># drive-in-your-own-updates# getawaywithit# somethingscookin# march5 📷:@ tah,0,1,0.76759243,0.41160554,0.0,0.0,0.0,0.0
780,sonicdrivein_1435,"don’ t worry, folks, we won’ t have to drive you to the drive-in.",2,1,0.9804652,0.41160554,0.0751125749179685,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308
807,sonicdrivein_1138,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0,1,0.8792573,0.41160554,0.0,0.0,0.0,0.0
810,sonicdrivein_1755,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0,1,0.8792573,0.41160554,0.0,0.0,0.0,0.0
821,sonicdrivein_344,what’ s the best thing you can do with one cup of ice?# icecream# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ micholas.,0,1,0.7834418,0.41160554,0.0,0.0,0.0,0.0
824,sonicdrivein_376,"is this a drive-in? no, this is the drive-in.",1,1,0.97347,0.41160554,0.111111111111111,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
834,sonicdrivein_2185,"no, no, no, no, no, no, none, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0,1,0.86753106,0.41160554,0.0,0.0,0.0,0.0
902,sonicdrivein_41,don’ t worry about what you’ re going to do when you don’ t have to worry about what you’ re going to do in the future 🤷# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5,0,1,0.72981954,0.41160554,0.0,0.0,0.0,0.0
905,sonicdrivein_497,you know what it’ s like to be a little girl 😉# girlmath# girlmath# march5 📷:@ momfessionals# march5 📷:@ dadfessionals# getawaywithit# somethingscookin# march5 📷:@ dadfession,1,1,0.75257385,0.41160554,0.04,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
920,sonicdrivein_1765,"who’ s going to tell my boss what to do with the corn dogs? 🍪# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal,@ tahrithebengal and@ joanne.",1,1,0.74331504,0.41160554,0.0434782608695652,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
972,sonicdrivein_339,"if the drive-in is a drive-in, you’ re gon na have to do it# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ kimchiwagshop# march5 📷",3,1,0.6864375,0.41160554,0.1198986821386423,2.134267386369317e-308,2.134267386369317e-308,2.134267386369317e-308
983,sonicdrivein_1753,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0,1,0.8792573,0.41160554,0.0,0.0,0.0,0.0
1010,sonicdrivein_528,"the drive-in, the drive-in, the drive-in, the drive-in, the drive-in, the drive-in, the drive-in and the drive-in.",0,1,0.8617405,0.41160554,0.0,0.0,0.0,0.0
1030,sonicdrivein_743,"i know it 's cold, but i 'm just going to be out of my mind when i’ m ready to eat my food ..# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream# icecream#",1,1,0.96129674,0.41160554,0.0223683760337856,1.841537684491366e-308,1.841537684491366e-308,1.841537684491366e-308
1060,sonicdrivein_470,the trick or treat you’ re craving is a treat.,1,1,0.97063744,0.41160554,0.1,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
1106,sonicdrivein_1566,"in order to celebrate, we’ ve got a limited edition t-shirts available for purchase now on instagram.",2,1,0.94894606,0.41160554,0.1176470588235294,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
1121,sonicdrivein_1022,we’ ve got a new thing coming.,0,1,0.97912496,0.41160554,0.0,0.0,0.0,0.0
1193,sonicdrivein_866,we’ ve got something new coming.,0,1,0.98294246,0.41160554,0.0,0.0,0.0,0.0
1212,sonicdrivein_529,"the drive-in is always the drive-in, and the drive-in is always the drive-in, and the drive-in is always the drive-in.",0,1,0.92281073,0.41160554,0.0,0.0,0.0,0.0
1242,sonicdrivein_655,"don’ t worry, you don’ t have to drive the drive-in to get the app# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ kimchi.",1,1,0.8171322,0.41160554,0.0434782608695652,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
1243,sonicdrivein_98,# getawaywithit# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ tahrithebengal# march5 📷:@ kimchi.,0,1,0.81595814,0.41160554,0.0,0.0,0.0,0.0
1248,sonicdrivein_454,if you don’ t have time to do that… then you don’ t want it.,0,1,0.97070056,0.41160554,0.0,0.0,0.0,0.0
1256,sonicdrivein_759,i 'm going to tell you what i 'm going to do: i 'm going to tell you what i 'm going to do: i 'm going to tell you what i 'm going to do: i 'm going to tell you what i 'm going to do: i 'm going to tell you,0,1,0.9452807,0.41160554,0.0,0.0,0.0,0.0
1297,sonicdrivein_1737,question: what do you think of the new sonic wall? 🤔# sonic wall# taxis# taxiderno# taxiderno# taxiderno# taxiderno# taxiderno# taxiderno# taxiderno# taxiderno# taxiderno# taxiderno# taxiderno# tax,1,1,0.89761156,0.41160554,0.0384615384615384,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
