image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign,b_bita,b_clip
sonicdrivein_1809,you ’ ll be able to get a taste of the world with just one bite.,0,1,1,2,4,1,0.9799886,0.39948547,0.026349806140466,2.34521059279541e-309,2.34521059279541e-309,2.34521059279541e-309,0.7198317646980286,1,-8.641299,-7.433823,-9.59116
sonicdrivein_1367,"it's not just a meme, it’ s real.",0,0,0,-1,2,1,0.95505357,0.39948547,0.0716261992150475,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309,0.4114159047603607,0,-4.7574477,-1.5033622,-0.00048947276
sonicdrivein_163,"i'm not sure if we’ re going to get in, but let me know what you think.",0,0,0,-1,0,1,0.9732309,0.39948547,0.0,0.0,0.0,0.0,0.8691108822822571,1,-8.567513,-9.239105,-5.321742
sonicdrivein_1996,`` what are you going to do today? </s> let’ s make sure it goes home.,0,0,0,-1,0,1,0.94087213,0.39948547,0.0,0.0,0.0,0.0,0.086963914334774,0,-8.466362,-9.414845,-9.773167
sonicdrivein_1866,when you’ re not sure what to do with your kids after a long day at work.,0,1,1,0,2,1,0.9699526,0.39948547,0.1045893841650324,1.9781123889553905e-308,1.9781123889553905e-308,1.9781123889553905e-308,0.5812757611274719,1,-8.630288,-8.287876,-0.00012146689
sonicdrivein_91,♻️🤷‍♀️🧔🏾😭👨 👩 🔥 # 🦋💰 pic.,0,0,0,-1,0,1,0.75523084,0.39948547,0.0,0.0,0.0,0.0,0.9252960085868835,1,-8.780988,-9.845468,-0.00999104
sonicdrivein_1094,it’ s 2016 and we need to get our ideas down on paper.,0,0,0,-1,0,1,0.96523994,0.39948547,0.0,0.0,0.0,0.0,0.7041672468185425,1,-6.92835,-4.568478,-0.00042596326
sonicdrivein_1376,i'm not sure if i like this but there’s something in the back of it that makes me think so.,0,1,1,2,1,1,0.944969,0.39948547,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9443762302398682,1,-8.891861,-9.1842,-0.00067044667
sonicdrivein_743,there’ s a 10- minute wait for your order to be ready when you walk in.,1,1,1,2,1,1,0.9714556,0.39948547,0.0108608714656528,3.86659858861305e-309,3.86659858861305e-309,3.86659858861305e-309,0.6095452308654785,1,-8.551299,-7.233781,-7.192704
sonicdrivein_311,"it's not about the music, it ’ s all in your voice.",0,0,0,-1,3,1,0.9477333,0.39948547,0.25,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5733121037483215,1,-9.028738,-7.537356,-1.0646935
sonicdrivein_325,"it ’ s about time you started listening to what people are actually saying, not just the words they say.",0,0,1,-1,2,1,0.96844673,0.39948547,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5409996509552002,1,-9.171233,-0.0007921895,-0.0001295721
sonicdrivein_196,"it's not like we’ re going to have a party this weekend, is it? but i don't think so! let me know what you guys are up for and then maybe we can get together later in the week.",0,0,0,-1,1,1,0.9766198,0.39948547,0.0256410256410256,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9003816246986389,1,-9.108692,-8.416935,-9.001666
sonicdrivein_926,"it's hard to say no, but we don't know what you are talking about.",0,0,0,-1,0,1,0.96669054,0.39948547,0.0,0.0,0.0,0.0,0.2818138301372528,0,-9.262467,-9.492057,-9.7389246e-05
sonicdrivein_1793,"november 2019 was the first time i heard this meme go viral, so here’s to all of you who enjoyed it! pic.",0,0,0,-1,3,1,0.9267636,0.39948547,0.1038136890950282,1.6939495889106837e-308,1.6939495889106837e-308,1.6939495889106837e-308,0.4583685398101806,0,-8.158681,-9.141106,-7.408388
sonicdrivein_532,"when i opened the can of dog food, it's not even close to what they say on the label.",0,0,0,-1,3,1,0.9471271,0.39948547,0.0809074238519721,1.7102374408358077e-308,1.7102374408358077e-308,1.7102374408358077e-308,0.710101842880249,1,-9.723964,-9.752763,-4.5884566
sonicdrivein_339,"we've got to get through this, and we do n’t know what it looks like until the end.",0,0,0,-1,4,1,0.95664734,0.39948547,0.1506243506678778,0.0398711516473794,1.5081763730657666e-308,1.5081763730657666e-308,0.8823065161705017,1,-7.4864655,-2.2016678,-1.3504459
sonicdrivein_1678,"we're not going to make this happen, but we are.",0,0,0,-1,0,1,0.9739656,0.39948547,0.0,0.0,0.0,0.0,0.5794650912284851,1,-8.906479,-9.211171,-0.0005038899
sonicdrivein_791,don't forget that this is just the beginning.,0,0,1,0,0,1,0.9742376,0.39948547,0.0,0.0,0.0,0.0,0.2169407606124878,0,-8.867222,-8.291353,-7.9373894
sonicdrivein_830,"i'm not sure if you know it, but this is the best ice cream i have ever had in my life.",1,0,0,-1,2,1,0.96969897,0.39948547,0.0049728796036609,1.16182756279903e-309,1.16182756279903e-309,1.16182756279903e-309,0.3011707961559295,0,-0.19828546,-9.409944,-7.3051424
sonicdrivein_2201,"i'm going to have a seizure, and i’ m sure you know what that sounds like.",0,0,0,-1,2,1,0.9748331,0.39948547,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5283772349357605,1,-6.81166,-8.527957,-8.77305
sonicdrivein_1307,we're going to do something different this week.,0,0,1,0,0,1,0.97593325,0.39948547,0.0,0.0,0.0,0.0,0.2144394516944885,0,-7.86825,-9.66861,-9.309676
sonicdrivein_594,i'm not going to tell you this.,0,0,0,-1,1,1,0.97450495,0.39948547,0.1428571428571428,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6787976026535034,1,-8.69405,-8.711202,-9.411598
sonicdrivein_546,it's been a long time since i’ ve seen this meme in my entire life.,0,0,0,-1,0,1,0.9738662,0.39948547,0.0,0.0,0.0,0.0,0.5006638169288635,1,-9.501669,-9.1084,-7.345164
sonicdrivein_1567,"i've been hearing a lot about this, but i do n’t know what it is.",0,0,0,-1,0,1,0.94991183,0.39948547,0.0,0.0,0.0,0.0,0.7009181976318359,1,-8.208437,-8.37634,-9.4224
