image_id,caption,human_ins,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,human_humor,humor,benign,b_clip,b_bita,f_bita,f_clip
sonicdrivein_1809,"we’ re going to have a special edition of the “ sonic berry tree” podcast, which we hope you all will enjoy.",1,0,-1,3,1,0.9648717,0.45879844,0.0348721581699682,5.690162685806633e-309,5.690162685806633e-309,5.690162685806633e-309,0.1017364189028739,0,0,-7.3794417,-9.37693,-7.433823,0.78629553,0.9719077
sonicdrivein_1866,"when you get home and realize your kids are all, on the go? just call me.",0,1,2,1,1,0.9751525,0.45879844,0.051814319886275,1.844651018804537e-308,1.844651018804537e-308,1.844651018804537e-308,0.5579928159713745,1,0,-9.150124,-8.930738,-8.287876,0.9670811,0.94104385
sonicdrivein_1376,and this is a meme.,0,0,-1,0,1,0.9636137,0.45879844,0.0,0.0,0.0,0.0,0.8665547370910645,0,1,-7.837732,-9.49664,-9.1842,0.9736872,0.9623953
sonicdrivein_743,we have a deal on 10 packs of ice cream.,1,1,2,1,1,0.94753,0.45879844,0.0033373269960326,7.42579905616274e-310,7.42579905616274e-310,7.42579905616274e-310,0.4235793650150299,1,0,-7.6497617,-6.809084,-7.233781,0.92728645,0.759905
sonicdrivein_196,"i'm not a dog person but i love these little dogs! and they’ re so cute, it makes me want to be one too.",1,1,2,0,1,0.9436122,0.45879844,0.0,0.0,0.0,0.0,0.9315060377120972,1,1,-0.00046885942,-9.506585,-8.416935,0.9135929,0.9648111
sonicdrivein_532,the only thing i know for sure is that the can of tuna in a sandwich was made with real meat.,1,1,2,6,1,0.9686484,0.45879844,0.2063994999405194,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308,0.3264104127883911,1,0,-9.42656,-9.40736,-9.752763,0.96524775,0.97493786
sonicdrivein_339,this is the last time i’ m going to say this.,0,1,2,3,1,0.97334653,0.45879844,0.0763818438604496,6.231692281410567e-309,6.231692281410567e-309,6.231692281410567e-309,0.9349936842918396,1,1,-8.720368,-0.0009495279,-2.2016678,0.8763875,0.41812873
sonicdrivein_786,"when you’ re trying to find a new restaurant, and the menu is too long or confusing.",0,0,-1,1,1,0.9366845,0.45879844,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6898866891860962,0,1,-8.443234,-9.274836,-9.336817,0.8010607,0.93126297
sonicdrivein_742,"the day after today's birthday party, we got a new dog.",0,0,-1,1,1,0.98136055,0.45879844,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6438618302345276,0,0,-0.0020845844,-7.8248973,-0.05037412,0.80633146,0.9433647
sonicdrivein_1197,the best way to get rid of a lot's trash is by putting it in the dumpster.,0,0,-1,2,1,0.98026705,0.45879844,0.1176470588235294,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3715706169605255,0,0,-8.099545,-9.047859,-9.806065,0.9358769,0.96624595
sonicdrivein_491,"yes, i don't like the idea of a dog.",0,0,-1,1,1,0.9727361,0.45879844,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9014542698860168,0,1,-0.00077896763,-5.342836,-8.825123,0.9215853,0.5854877
sonicdrivein_2080,i’ m going to be buying a new phone.,0,0,-1,2,1,0.9802412,0.45879844,0.0817509869269871,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.7578427791595459,0,1,-0.600161,-9.413302,-9.171104,0.96752834,0.7295657
sonicdrivein_1635,this is the best thing i’ve ever made.,0,0,-1,1,1,0.95840913,0.45879844,0.0001658475538783,2.9521844530573e-311,2.9521844530573e-311,2.9521844530573e-311,0.5882395505905151,0,0,-8.552168,-9.658383,-8.868226,0.9491299,0.9465282
sonicdrivein_556,"when you see a dog in the wild, it's not like this.",0,0,-1,2,1,0.97504133,0.45879844,0.056410904184457,7.531105694135595e-309,7.531105694135595e-309,7.531105694135595e-309,0.5791108012199402,0,0,-0.0004191712,-8.85635,-7.916903,0.67209023,0.96422476
sonicdrivein_2189,it's not like you can get your kids to go back and forth between the two rooms.,0,0,-1,1,1,0.9766663,0.45879844,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5228105187416077,0,0,-0.00034469386,-9.346412,-8.01761,0.9307862,0.66961974
sonicdrivein_1367,this meme is the one that makes me want to be an adult.,0,0,-1,1,1,0.9744732,0.45879844,0.0523624921787219,1.5146353626711476e-308,1.5146353626711476e-308,1.5146353626711476e-308,0.7024254202842712,0,1,-0.002783712,-6.574854,-1.5033622,0.9338319,0.9051556
sonicdrivein_1996,"in the first episode, we're going to do a little something.",0,0,-1,0,1,0.9688625,0.45879844,0.0,0.0,0.0,0.0,0.5716387033462524,0,0,-8.80343,-8.871635,-9.414845,0.9335145,0.82385063
sonicdrivein_1094,have you ever been to a restaurant that’ s not your own? </s> have u had one of these reviews on an app like uber or lyft.,0,0,-1,1,1,0.93040514,0.45879844,0.037037037037037,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0874752700328826,0,0,-0.0004967409,-0.0023762344,-4.568478,0.84381545,0.95177585
sonicdrivein_311,"it's not about the smell, it is how you feel when your dog walks in.",0,0,-1,2,1,0.9726418,0.45879844,0.1333333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3299594819545746,0,0,-6.267753,-6.6293097,-7.537356,0.87452435,0.97142756
sonicdrivein_325,"you’ re going to get your burger from the grill, right? but you don n know where it ‘s coming from.",1,1,0,4,1,0.94433916,0.45879844,0.1904761904761904,0.05,2.2250738585072617e-308,2.2250738585072617e-308,0.3075459897518158,0,0,-0.00052795775,-7.6007943,-0.0007921895,0.74218434,0.9773703
sonicdrivein_926,we don't know if we can do this.,0,0,-1,0,1,0.97929037,0.45879844,0.0,0.0,0.0,0.0,0.6130900382995605,0,0,-8.415972,-8.454034,-9.492057,0.9539705,0.9700075
sonicdrivein_1793,the cat in the middle of a coffee shop is getting its own meme.,0,0,-1,3,1,0.9569921,0.45879844,0.0525542058816346,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.5308417677879333,0,0,-0.00021932104,-4.9170337,-9.141106,0.8740222,0.8388165
sonicdrivein_791,"it’ s not a game, it's just the music.",0,0,-1,0,1,0.9563766,0.45879844,0.0,0.0,0.0,0.0,0.5579935312271118,0,0,-0.8812188,-7.9373894,-8.291353,0.8850128,0.9430178
sonicdrivein_2201,soo much to late for a snack? '' the first thing i do is take out my phone and start eating it.,0,0,-1,2,1,0.7653168,0.45879844,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0946733653545379,0,0,-8.497732,-8.77305,-8.527957,0.75366235,0.9684644
sonicdrivein_1307,i'm not going to tell you what i did today.,0,0,-1,1,1,0.9769182,0.45879844,0.0548811636094026,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308,0.5036296844482422,0,0,-4.116641,-8.917151,-9.66861,0.9635175,0.9658104
sonicdrivein_594,i’ m not sure if you're gonna like this or what but i am.,0,0,-1,0,1,0.9267466,0.45879844,0.0,0.0,0.0,0.0,0.906684637069702,0,1,-8.246999,-9.609896,-8.711202,0.7924786,0.8693103
sonicdrivein_1567,"i was n’ t sure i 'd like to try this, but my son said he heard about the new jingle.",0,0,-1,0,1,0.96205544,0.45879844,0.0,0.0,0.0,0.0,0.2745683789253235,0,0,-0.9429271,-8.922734,-8.37634,0.9284984,0.918088
sonicdrivein_91,"as always, the best way to stay on top of things is by being yourself.",0,0,-1,3,1,0.9748663,0.45879844,0.2,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,0.726448655128479,0,1,-9.732439,-5.7482395,-9.845468,0.95148474,0.9664568
sonicdrivein_830,"we're not sure if it was a good thing or bad, but we just had to stop the pandemic.",0,0,-1,2,1,0.96610415,0.45879844,0.0036256820696207,7.66403987275304e-310,7.66403987275304e-310,7.66403987275304e-310,0.5711211562156677,0,0,-8.837566,-0.00042143522,-9.409944,0.95278966,0.6463435
sonicdrivein_558,my favorite way to say hi is @ jacksepticeyes# yourbirthday pic.,0,0,-1,1,1,0.9611203,0.45879844,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6763999462127686,0,1,-8.98845,-8.6532,-9.292603,0.9470098,0.8384574
sonicdrivein_163,"if you’ re not, we can do it for free! i want to be the manager of this burger chain.",1,0,-1,2,1,0.97963893,0.45879844,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4421460032463074,0,0,-9.134822,-3.402399,-9.239105,0.9709446,0.78411
sonicdrivein_1678,and we’ ve got a few more to share with you.,0,0,0,3,1,0.9662319,0.45879844,0.0836510611572427,6.824758945303683e-309,6.824758945303683e-309,6.824758945303683e-309,0.1645076721906662,0,0,-9.011084,-0.00053605967,-9.211171,0.95588326,0.9242827
sonicdrivein_1090,the new diet is here.,0,0,-1,0,1,0.968765,0.45879844,0.0,0.0,0.0,0.0,0.1091389879584312,0,0,-9.536995,-9.181762,-9.170115,0.95917577,0.97309923
sonicdrivein_69,"dude, you know what i love to do is eat my food.",0,1,0,0,1,0.9734201,0.45879844,0.0,0.0,0.0,0.0,0.6315298080444336,0,0,-9.571109,-7.5514894,-9.138273,0.9462301,0.6075404
sonicdrivein_1884,i got this.,0,0,-1,0,1,0.9652667,0.45879844,0.0,0.0,0.0,0.0,0.5903553366661072,0,0,-8.678528,-0.06566938,-9.132108,0.95154744,0.75395286
sonicdrivein_1138,the best way to say hi is a 10-second text message.,0,0,-1,2,1,0.97450376,0.45879844,0.0387663515117203,4.74418974361379e-309,4.74418974361379e-309,4.74418974361379e-309,0.6546839475631714,0,1,-9.191493,-8.904881,-9.12307,0.96181524,0.3578911
sonicdrivein_546,"the next time you see a video that looks like this, just know.",0,0,-1,1,1,0.9694565,0.45879844,0.0415717689605026,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.5102792978286743,0,0,-9.371011,-9.269214,-9.1084,0.96816224,0.92147046
