image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor
sonicdrivein_1502,"a lot of people are freaking out about it, but i'm just trying to tell them the truth.",0.9985365867614746,1,sonicdrivein_893,"i'm not going to say this, but i am n’t sure if we can do it.",0.9999998807907104,1,sonicdrivein_495,"for those of you who can’ t wait to get your hands on this new album, check it out now! </s> https://t.",7.06729551893659e-05,0,sonicdrivein_85,you know what i’ m going to do? </s> go for a run with your dog! this is the best way to get some exercise and fresh air.,0.9938329458236694,1,sonicdrivein_497,the only thing i couldn't stop thinking about was this.,1.0,1,sonicdrivein_691,i've got a few things for you.,0.9998134970664978,1
sonicdrivein_51,"i'm not going to post this tweet today, but i do n’t want my friends and family on the same page as me.",0.9999980926513672,1,sonicdrivein_784,"in the end of 2019, we’ ll be able to say goodbye to all those who made it through this year.",5.185901930104819e-09,0,sonicdrivein_163,"i'm not going to be in the restaurant, but i’ m sure you know where we are.",0.9999762773513794,1,sonicdrivein_572,"we’ re going to do a 30-second roundup of the top trending memes for this week, and we have no idea what they are.",1.5035833635015233e-13,0,sonicdrivein_51,"when i was a kid, my mom told me not to ask for 30 minutes of sleep in one night.",1.0,1,sonicdrivein_832,"it's not about the size of your jeans or what you wear on them, it ’ s just how much fun i had dressing up as a little girl at my sister#39; birthday party last year.",0.9986699819564819,1
sonicdrivein_832,"so, i'm not going to do this.",1.0,1,sonicdrivein_91,"when you see a post like this, it’ s time to stop scrolling and start reading! </s> 👍👌😊🙏💪🏽— 📚📖🗣️🤷‍♂🎉🐶🍦🥔🌱❤️☺❓⛲🏻🔴🔥 <3",0.994769275188446,1,sonicdrivein_408,"we all know what it feels like to be stuck at home with no food, but we're here for you.",1.3370057838635319e-10,0,sonicdrivein_691,"i'm not going to tell you what it is, but i’ m pretty sure this one will be the most popular on instagram of all time.",0.22284837067127228,0,sonicdrivein_2031,"for those of you who don’ t know what we mean, here are a few things to keep in mind when ordering your coffee: </s> ☕️☔️🍫.",2.585788081432838e-07,0,sonicdrivein_486,"when you go to the store and there is no ice in your drink, don't ask for it.",1.0,1
sonicdrivein_491,`` i love you so much! </s> this is my new boyfriend.,2.284746733494103e-05,0,sonicdrivein_560,"if you're going to buy a new phone this year, make sure it has at least one emoji on the home screen.",0.9999967813491821,1,sonicdrivein_98,"you’ re not going to like this, are you? </s> just call me on your phone and we can talk about it.",0.9649747014045715,1,sonicdrivein_798,this week we are going to be talking about the 1980's and what they were like back then.,0.9999998807907104,1,sonicdrivein_691,"i'm not going to tell you what it is, but i’ m pretty sure this will be the most popular app of all time.",0.9824991226196289,1,sonicdrivein_290,"you know when you’ re about to order a burger and the cashier says, “ we only have one left on this side of it.",0.9999969005584717,1
sonicdrivein_786,"i'm not a dentist, but i don't know what to say about it.",0.9999916553497314,1,sonicdrivein_98,"you’ re not going to like this, are you? </s> i know it sounds weird but we need your help.",0.9687541723251343,1,sonicdrivein_585,what’ s with you? what's on your mind when it comes to the new season of monty python and the holy grail.,0.6053952574729919,1,sonicdrivein_495,"for those of you who can’ t wait to get your hands on this, we've got a ton more coming soon! just in time for mom day.",0.26660680770874023,0,sonicdrivein_98,"you’ re not going to like this, are you? </s> don’ t worry about it.",0.9999786615371704,1,sonicdrivein_496,10 of the 25 most popular new iphone apps this month.,0.9999469518661499,1
sonicdrivein_486,"when you go to the store and say, & quot; i don't like this ice cream.",0.9999998807907104,1,sonicdrivein_152,"mom, i'm here for you.",0.9995678067207336,1,sonicdrivein_89,what’ s your favorite thing to do in the summer? </s> what is it that you love most about this season.,0.33516621589660645,0,sonicdrivein_98,"you’ re not going to like this, are you? </s> just call me on your phone and we can talk about it.",0.9649747014045715,1,sonicdrivein_163,"i'm not going to go in, but if you can’ t get me out of my car then i will.",0.9999980926513672,1,sonicdrivein_534,what do you call it when an ice cream truck stops by your front door? </s> https://t.,1.9073046961248785e-11,0
sonicdrivein_505,i'm here to help you get rid of it.,1.0,1,sonicdrivein_457,why don't you try this? </s> because it makes me feel so good.,0.9996148347854614,1,sonicdrivein_85,you know what i’ m going to do? </s> go for a run with your dog.,0.9999979734420776,1,sonicdrivein_283,"when you’ re at a restaurant and the waiter asks, “ what are your favorite food? just reply with an emoji.",0.03538569062948227,0,sonicdrivein_697,"we're going to have a taco party at my house tonight, so make sure you bring your own food and drinks!# 👨‍🍳👩🏻🧑🏾️🙌🎉🥗🤣 🤦♀️😊☕⛅
Q: what are we having for dinner? A: tacos.",0.0008454222115688026,0,sonicdrivein_495,"for those of you who can’ t wait to get your hands on this, we have a TON more coming soon! </s> just in time for mom day.",0.044999804347753525,0
sonicdrivein_560,what is the date of your birthday? </s> what are you looking forward to for this year’ s holiday season.,0.8020771145820618,1,sonicdrivein_798,"""
### Questions and Detailed Answers Related to the Extract:
1.",0.9693645238876343,1,sonicdrivein_2031,"for those of you who don’ t know what we mean, here are a few things to keep in mind when ordering your coffee: </s> ☕️☔️🍵.",3.103942844973062e-07,0,sonicdrivein_742,we're not going to let you down.,1.0,1,sonicdrivein_376,you're not the only one in this room.,1.0,1,sonicdrivein_2031,"for those of you who didn’ t get the first shot, we have a new special just for them! </s>
this is what it looks like when they don't know how to cook.",1.1797345678132842e-06,0
sonicdrivein_143,`` i'm not going to do it.,0.9999966621398926,1,sonicdrivein_585,"i'm going to ask you a question: what is your favorite ice cream flavor? i love chocolate, but it does n’t really matter.",0.29546257853507996,0,sonicdrivein_78,"if you're looking for something to make your day a little brighter, here it is.",0.9999939203262329,1,sonicdrivein_376,you're not the only one in this room.,1.0,1,sonicdrivein_690,"for the 1st time in almost a decade, we’ re going to be having an ice cream party at our favorite spot! ♥️ pic.",0.9975420236587524,1,sonicdrivein_234,what do you think of this? </s> it’ s the only thing that will keep your feet from freezing in winter.,0.9950662851333618,1
sonicdrivein_566,"for those of you who don't want to eat your hair, please let us know how long it will take.",6.912543994985754e-07,0,sonicdrivein_196,"it's like, oh my god i’m so happy to be here with you.",1.0,1,sonicdrivein_534,when you can’t decide what ice cream flavor to get because there are so many options.,0.0013284423621371388,0,sonicdrivein_80,"it’ s like, “ i love you so much.",1.0,1,sonicdrivein_495,"for those of you who can’ t wait to get your hands on this, we've got a ton more coming soon.",0.7717809677124023,1,sonicdrivein_2052,you know what i'm going to do with this.,1.0,1
sonicdrivein_1199,"when i was 10 years old, my mom told me to get a job in the store.",1.0,1,sonicdrivein_691,"i'm not a doctor, but here’s what i would do for you: get an appointment with your gp today.",0.3776443898677826,0,sonicdrivein_566,"we're here to help you find your perfect ice cream flavor, but we do n’t know what it is.",7.306088893599405e-12,0,sonicdrivein_1594,it’ s not the only thing i can think of when you get home from work and your kids are playing with their toys.,0.9999991655349731,1,sonicdrivein_585,"for those of you who don’ t know it, we have a new menu for the 2019 holiday season.",7.894183795542631e-07,0,sonicdrivein_69,"dude, you know what this is? </s> it’ s not a soda can.",1.0,1
sonicdrivein_373,`` i'm going to get a new car.,0.9999998807907104,1,sonicdrivein_522,today's the day we’ re going to show you how much fun it is when a dog turns into an ice cream cone.,0.9695093631744385,1,sonicdrivein_2052,you know what i'm going to do.,1.0,1,sonicdrivein_78,"if you're looking for a way to add some fun and excitement into your day, check out this video.",0.9999996423721313,1,sonicdrivein_571,and you know what? we're going to have a party! get ready for it.,0.9999837875366211,1,sonicdrivein_369,what are you gonna do today? </s> i am going to dress up as the person who ate all of my food.,0.967140257358551,1
sonicdrivein_534,"i'm not telling you this, but i can see a lot of people on the internet today.",0.9999991655349731,1,sonicdrivein_670,"when i was a kid, my mom told me not to eat too much ice cream because it would make you fat.",1.0,1,sonicdrivein_697,"we're going to have a pizza party at my house this saturday night, so make sure you bring your own food and drinks!# 👨🏻👩🏽‍♂️🎉🍕🥤🚶
Q: what are we having for dinner tonight? A.",0.00015208564582280815,0,sonicdrivein_596,"it's my first day of school, and i just want to let you know how much fun we had today.",0.9999688863754272,1,sonicdrivein_65,`` i'm going to give you a taste of my new dog biscuit.,1.0,1,sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",1.0,1
sonicdrivein_376,i'm not a fan of this.,0.9992183446884155,1,sonicdrivein_832,this is the 30th anniversary of this site and we want you to have a good time.,0.9899736642837524,1,sonicdrivein_486,this is what you need to do if u don’ t know where i'm going.,1.0,1,sonicdrivein_486,this is what you should do if u don’ t know the difference between an ice cream cone and a milkshake.,0.9999990463256836,1,sonicdrivein_234,"don't know what to do with this, so here are some ideas you might like: </s>
what is the definition of a good friend? someone who makes your day better than it was before they were there.",0.9970496892929077,1,sonicdrivein_78,"if you're looking for a way to add some fun and excitement into your day, check out this video.",0.9999996423721313,1
sonicdrivein_495,"from now on, we're going to have a little bit of ice cream.",0.9999943971633911,1,sonicdrivein_1502,"a lot of people are freaking out about this, but i just want to let them know that it’ s all right.",0.9039499759674072,1,sonicdrivein_344,"i'm not sure if you like this, but i do n’t know what to think of it.",1.0,1,sonicdrivein_585,what’ s with you? what's on your mind when it comes to the new season of monty python and the holy grail.,0.6053952574729919,1,sonicdrivein_566,"we're here to help you find your perfect ice cream flavor, but we do n’t know what it is.",7.306088893599405e-12,0,sonicdrivein_572,today i’ m going to show you what it feels like when your dog's mouth is full of sod! pic.,5.16635179081959e-10,0
sonicdrivein_645,"bessie, you're the only one who walks into a grocery store and doesnn't get out of it.",1.0,1,sonicdrivein_742,there's a lot of things you can do to make it better.,1.0,1,sonicdrivein_560,"when you’ re thinking about what to get for your birthday, check out this list of the top 10 best gifts from last year.",0.9826284646987915,1,sonicdrivein_51,"when i was 10 years old, my mom told me not to eat too much ice cream because it would make you fat.",1.0,1,sonicdrivein_486,when you go to the store and see a 10% off sale on everything but there is no ice cream in it.,0.4023638963699341,0,sonicdrivein_697,we're going to have a taste test for our new sandwich.,0.9999998807907104,1
sonicdrivein_91,"for the first time, i'm going to get a new pair of shoes! but it’s not as bad as you think 🤦‍♂️🤷🏻‍♀️🙌😂👍😊💕🧘🏽󠁢🇺🇸📰 📱 📲 📳 📴 👨",0.9998955726623535,1,sonicdrivein_1384,"i've got a lot of food in my fridge, but i don’t want to eat it all at once.",1.0,1,sonicdrivein_373,when i went to the grocery store and saw this ad for a 30% off sale.,1.0,1,sonicdrivein_496,10% of all the people on this page have downloaded it.,0.9652706384658813,1,sonicdrivein_534,when you can’t decide what ice cream flavor to get.,0.033916957676410675,0,sonicdrivein_585,"what’ s with you? what's your favorite comfort food for the month of may?? it might be bacon and eggs, but here are a few other options to consider.",8.290400728583336e-05,0
sonicdrivein_596,i'm not mad at you.,1.0,1,sonicdrivein_1594,why don't you like this? it ’s the only thing i can think of right now.,0.9999996423721313,1,sonicdrivein_69,"# 10 of the most important things you can do to make your life better this year! eat more fruits and vegetables, exercise at least three times a week, get enough sleep every night.",0.9996582269668579,1,sonicdrivein_163,"i'm not going to go in, but i’ m sure you know where we are.",0.9999997615814209,1,sonicdrivein_457,"we’ re not going to be here for the rest of your life, but we are gonna make sure you have a good time! </s>
What is it with this picture? I don't get what they mean by that.",0.005696157459169626,0,sonicdrivein_566,"we're here to help you find your perfect ice cream flavor, but we do n’t know what it is.",7.306088893599405e-12,0
sonicdrivein_1594,why don't you like this? </s> why don’ t u post a video of your kids when they grow up and start making fun at them.,0.016464838758111,0,sonicdrivein_571,and i'm going to ask you a question: what do u want for your birthday? and the answer is always yes.,0.9999946355819702,1,sonicdrivein_369,i'm going to make you a pizza for dinner! just ask me where it’ s gonna be and we can grab some ice cream at the same time.,0.9983615279197693,1,sonicdrivein_670,"the only thing i want to say is, `` oh my god! it’ s so good.",1.0,1,sonicdrivein_496,10 of the 25 most popular memes on instagram this week.,0.0887124091386795,0,sonicdrivein_51,"when i was 14, my mom told me not to eat too much ice cream because it would make you fat.",1.0,1
sonicdrivein_283,"i’m not a lawyer, and i don't have any idea what you want to do.",0.9999994039535522,1,sonicdrivein_496,i'm going to show you a few of the most popular ones on this site.,0.999998927116394,1,sonicdrivein_283,"when you’ re at a restaurant and the waiter asks, “ do u want fries with your burger or pizza? just say no.",0.1735384613275528,0,sonicdrivein_571,and we’ re going to have a 20% discount on all of our products for the entire month! get it now before they sell out.,0.9993351101875305,1,sonicdrivein_2052,you know what i'm going to do.,1.0,1,sonicdrivein_85,you know what i’ m going to do with this? </s> give it a try.,0.9999877214431763,1
sonicdrivein_80,"i'm not sure if i like this or that, but here’s my take on it.",1.0,1,sonicdrivein_89,"what’ s your favorite food? what do you like to eat the most on a friday night?? </s>
.",0.0003354372747708112,0,sonicdrivein_572,"i’ m going to do a 30-second ad for my new brand of dog food, and i just cann't say no.",1.862651366479895e-09,0,sonicdrivein_143,we're not going to be the only ones who can do this.,1.0,1,sonicdrivein_786,"i'm not sure if you like it or hate this, but i do know one thing for certain: we can get to work in no time.",0.4269317090511322,0,sonicdrivein_596,it's my first day of school.,1.0,1
sonicdrivein_369,i'm going to make a pizza for you.,0.9999998807907104,1,sonicdrivein_51,"when i was 10 years old, my mom told me not to ask for a job interview.",1.0,1,sonicdrivein_1384,"it's not just about the food, it’ s all of you.",0.9999998807907104,1,sonicdrivein_446,"it’ s the time of year to get your hair done, but i don' t know if you want it or not! </s> 🧖‍♂️ pic.",0.9992212057113647,1,sonicdrivein_832,# 15 of the year’ s most popular ways to celebrate your anniversary with a little help from home.,0.026913916692137718,0,sonicdrivein_163,"i'm not sure if i can’ t get it, but let me know what you think.",0.9999990463256836,1
sonicdrivein_798,"""
### Questions and Detailed Answers Related to the Extract:
1.",0.9693645238876343,1,sonicdrivein_2031,"if you’ re not sure about it, just say “i like this” and they will be your best friend for the rest of the day.",0.003945404663681984,0,sonicdrivein_893,"i'm not sure if this is the best way to say it, but i am.",1.0,1,sonicdrivein_290,"you know when you’ re about to order your favorite ice cream and they say, “ we have a new flavor this week” so it just makes sense.",0.6946402788162231,1,sonicdrivein_290,"you know when you’ re about to order a burger and the cashier says, “ i hope this is on your left side because it looks better that way.",0.9999992847442627,1,sonicdrivein_196,"it's not like we’ re going to have a party this weekend, is it? but i don't think so! let me know what you had for dinner last night.",0.9999998807907104,1
sonicdrivein_585,"i'm going to tell you this, but i am n’t gonna say it.",1.0,1,sonicdrivein_446,what are you going to do today? </s> it’ s the best day of your life.,0.44666165113449097,0,sonicdrivein_786,"i'm not sure if you like it, but i do n’t know what to say about this.",0.9995458722114563,1,sonicdrivein_505,this is what we're going to do today.,1.0,1,sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",1.0,1,sonicdrivein_491,"i'm not sure if this is the one i was looking for, but it looks like a shark.",0.9996863603591919,1
sonicdrivein_893,i'm here to show you what i can do.,0.9903485774993896,1,sonicdrivein_344,"i'm not sure if you like this, but i do n’t think so.",1.0,1,sonicdrivein_670,"the only thing i want to say is, `` oh my god! it’ s so good.",1.0,1,sonicdrivein_344,"i'm not sure if this is the right thing to do, but i think it might be a good idea.",1.0,1,sonicdrivein_89,"it’ s the end of summer, and it's time to say goodbye.",0.028830185532569885,0,sonicdrivein_1384,"it's not about what you look like, it’ s who u are.",1.0,1
sonicdrivein_89,"what’s your favorite day of the week? </3> what are you going to eat for dinner tonight??
this is a good question.",0.00015914755931589752,0,sonicdrivein_596,it's not the best day of my life.,1.0,1,sonicdrivein_152,"i'm not going to say this, but i know what you’ re thinking.",0.9999985694885254,1,sonicdrivein_152,"i'm not going to say no, but i do n’t know if this is what you want.",0.9993322491645813,1,sonicdrivein_373,when i went to the grocery store with my mom and saw this ad for a $10 ice cream sundae.,1.0,1,sonicdrivein_152,we're not going to be the only ones who can do this.,0.999987006187439,1
sonicdrivein_446,`` i'm not going to do it.,0.999991774559021,1,sonicdrivein_234,"i'm not sure if you like this, but i do n’t know what to call it.",1.0,1,sonicdrivein_491,"i'm not sure if this is the right thing to do, but i think it would be cool.",0.998796820640564,1,sonicdrivein_566,"we're here to help you find your perfect ice cream flavor, but we do n’t know what it is.",7.306088893599405e-12,0,sonicdrivein_505,this is what we're going to do today.,1.0,1,sonicdrivein_505,please don't forget to bring your dog with you when going out for a run.,1.0,1
sonicdrivein_691,"i'm not going to like this, but i am n’t gonna do it.",0.9919061660766602,1,sonicdrivein_491,"i'm not sure if you like this, but i do n’t know what to think about it.",0.9994012117385864,1,sonicdrivein_798,"i'm not sure if this is what you were looking for, but i do n’t think so.",1.0,1,sonicdrivein_65,this is the most delicious cheesecake i’ve ever had! </s> this one for you.,0.9700804948806763,1,sonicdrivein_596,"it's my first day of school, and i am so excited to meet you all again.",0.9999974966049194,1,sonicdrivein_408,question: what do you want for your birthday? question 2.,0.02326180599629879,0
sonicdrivein_697,"i'm looking for a place to eat dinner, but i can n’t find it.",1.0,1,sonicdrivein_780,i'm not going to tell you how many times i’ve been on the wrong side of a barbie grill.,1.0,1,sonicdrivein_196,"it's not like we’ re going to have a party this weekend, is it? but i don't think so! let me know what you had for dinner last night and maybe then u can come out with us.",0.9999974966049194,1,sonicdrivein_786,"i'm not sure if you like it or hate this, but i do know one thing for certain: we are going to have a good time.",0.8865021467208862,1,sonicdrivein_414,"it’ s like, “ i know what you guys are thinking right now.",1.0,1,sonicdrivein_497,the only thing i couldn't stop thinking about was this.,1.0,1
sonicdrivein_85,"i'm going to have a lot of fun with this burger, but i’ m not sure if it will fit in my bag.",1.0,1,sonicdrivein_566,"we're here to help you find your perfect ice cream flavor, but we do n’t know what it is.",7.306088893599405e-12,0,sonicdrivein_376,you're not the only one in this room.,1.0,1,sonicdrivein_1384,"it's not about the food, it’ s about how much you love your dog.",0.9999985694885254,1,sonicdrivein_69,# 10 of the best things i’ve ever written in my life.,0.9999955892562866,1,sonicdrivein_1594,"it’ s not the best time of year, but it's also when you get to know all your new friends from last summer.",0.9970558881759644,1
sonicdrivein_457,`` i'm not going to do it.,0.9999895095825195,1,sonicdrivein_2052,`` i'm here for you.,0.9999992847442627,1,sonicdrivein_691,"i'm not going to tell you what it is, but i’ m pretty sure this one will be the most popular on instagram in a long time.",0.3185960650444031,0,sonicdrivein_690,"for the 1st time in almost a decade, we’ re going to be having an ice cream party at our favorite spot! ♥️ pic.",0.9975420236587524,1,sonicdrivein_78,"if you're looking for a way to add some fun and excitement into your day, check out this video.",0.9999996423721313,1,sonicdrivein_780,when you’ re trying to find your way around a new city and then end up on the wrong side of it.,0.9999998807907104,1
sonicdrivein_408,"and i'm like, `` oh my god! and you know how long it takes for me to eat a burger.",0.02258259616792202,0,sonicdrivein_645,"`` i'm not sure if this is the best place to put an ice cream cone, but it doesn't matter.",0.9999998807907104,1,sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",1.0,1,sonicdrivein_893,"it's not just the ice cream, it’ s all of them.",0.9446911215782166,1,sonicdrivein_1502,"a lot of people say they don’ t like it, but we don't.",0.17079384624958038,0,sonicdrivein_283,"when you’ re about to order a meal at your favorite fast food chain, don't forget that there is an app for this! </s> https://www.",1.939341700563091e-06,0
sonicdrivein_98,"in 2019, we’ll be able to get all of the ice cream off your plate! but it will cost you a lot more money.",0.7914506196975708,1,sonicdrivein_486,"when you go to the store and say, `` i love ice cream.",1.0,1,sonicdrivein_290,"you know when you’ re about to make a decision and someone says, “ i think it might be better if we do this instead of that” or something like that.",1.0,1,sonicdrivein_2052,"i'm not sure if this is the right thing to do, but i think it might be a good idea.",1.0,1,sonicdrivein_196,"it's not like we’ re going to have a party this weekend, is it? but i don't think so! let me know what you had for dinner last night.",0.9999998807907104,1,sonicdrivein_80,"it’ s like, “ i love you so much.",1.0,1
sonicdrivein_234,"mom, i'm going to post a photo of you and me on my mom’s birthday today.",1.0,1,sonicdrivein_534,when you're trying to find something in the fridge but can n’t remember what it is.,0.9999842643737793,1,sonicdrivein_571,and we’ re going to have a 20% discount on all of our products for the entire month! get it now before they sell out.,0.9993351101875305,1,sonicdrivein_697,"we're going to have a taco party at my house tonight, so make sure you bring your own food and drinks!# 👨‍🍳👩🏻🧑🏾️🙌🎉🥗🤣 🤦♀️😊
Q: what are we having for dinner? A) tacos B) pizza C) pasta",0.0008454222115688026,0,sonicdrivein_91,when you’ re in the mood for something sweet but don ‘t know what to do with it.,1.0,1,sonicdrivein_893,"it's not about having a good time, it’ s to have an amazing experience.",0.9034265279769897,1
sonicdrivein_784,"when you're done with your day, i’m going to go out for a bite of ice cream.",0.9999867677688599,1,sonicdrivein_690,"for the first time in 20 years, i was able to find my favorite ice cream flavor at a local shop.",1.0,1,sonicdrivein_497,the only thing i couldn't stop thinking about was this.,1.0,1,sonicdrivein_369,why don't you try this? </s> 👨‍💼👩🏽🧔🏻♀️🥳🍲🤦🎉# allthewaytosomething.,0.37736520171165466,0,sonicdrivein_522,"today's your day, everyone’ s going to be the first person who will get a taste of our new flavors.",0.0014618217246606946,0,sonicdrivein_344,i know what you’ re thinking.,1.0,1
sonicdrivein_670,"when i was a kid, my mom told me not to eat too much ice cream.",1.0,1,sonicdrivein_143,"yes, we're going to do it.",0.9999998807907104,1,sonicdrivein_457,"i love you so much, and i don't know what to say.",0.9999984502792358,1,sonicdrivein_196,"it's not like we’ re going to have a party this weekend, is it? but i don't think so! let me know what you want for dinner tonight.",0.9999997615814209,1,sonicdrivein_784,we’ re here to help you find your way home.,1.0547229578605766e-07,0,sonicdrivein_91,♻️🤷 what’ s the deal with this? ” 👍👅🛡 🤣 how much do you want to pay for it now?? 💰💚😊🙌 🙋‍⬤🏽 🧘🏻‍♀️🐶📸 📿 ⠀⠀⠀⠀ check out all of our new,0.98423171043396,1
